Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM
5,C_4_M_1,org.apache.commons.lang3.text.StrBuilderAppendInsertTest::testAppend_StringBuilder,0,New,11,19,0.736842105,0.02554418,3275,0,0
5,C_4_M_2,org.apache.commons.lang3.text.StrBuilderAppendInsertTest::testAppend_String,0,Modified,11,18,0.777777778,0.026221015,3196,0,0
5,C_4_M_3,org.apache.commons.lang3.text.StrBuilderAppendInsertTest::testAppend_StringBuilder_int_int,0,New,43,20,0.7,0.024907085,3355,0,0
4,C_1_M_1,org.apache.commons.lang3.BitFieldTest::testByte,0,Modified,22,8,0,0,2520,0.875,0
4,C_2_M_1,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_is,0,Modified,6,7,0,0,2464,0.285714286,0
4,C_2_M_2,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isNot,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_3,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isIn_Same,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_4,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isIn_Normal,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_5,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isIn_Reversed,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_6,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isNotIn_Same,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_7,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isNotIn_Normal,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_8,org.apache.commons.lang3.CharRangeTest::testConstructorAccessors_isNotIn_Reversed,0,Modified,6,7,0,0,2464,0.428571429,0
4,C_2_M_9,org.apache.commons.lang3.CharRangeTest::testEquals_Object,0,Modified,17,5,0,0,2375,0.6,0
4,C_2_M_10,org.apache.commons.lang3.CharRangeTest::testHashCode,0,Modified,16,5,0,0,2375,0.4,0
4,C_2_M_11,org.apache.commons.lang3.CharRangeTest::testContains_Charrange,0,Modified,94,7,0,0,2464,0.714285714,0
4,C_2_M_12,org.apache.commons.lang3.CharRangeTest::testContainsNullArg,0,Modified,7,4,0,0,2343,0.5,0
4,C_2_M_13,org.apache.commons.lang3.CharRangeTest::testIterator,0,Modified,58,7,0,0,2464,0.571428571,0
4,C_3_M_1,org.apache.commons.lang3.ArrayUtilsRemoveTest::testRemoveObjectArray,0,Modified,29,4,0,0,2343,0.5,0
4,C_3_M_2,org.apache.commons.lang3.ArrayUtilsRemoveTest::testRemoveNumberArray,0,Modified,13,4,0,0,2343,0.5,0
4,C_3_M_3,org.apache.commons.lang3.ArrayUtilsRemoveTest::testRemoveBooleanArray,0,Modified,29,4,0,0,2343,0.75,0
4,C_3_M_4,org.apache.commons.lang3.ArrayUtilsRemoveTest::testRemoveByteArray,0,Modified,29,4,0,0,2343,0.75,0
4,C_3_M_5,org.apache.commons.lang3.ArrayUtilsRemoveTest::testRemoveCharArray,0,Modified,29,4,0,0,2343,0.75,0
