Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
67,C_6_M_4,org.apache.commons.math.analysis.interpolation.LinearInterpolatorTest::testIllegalArguments,0,New,23,9,0,0,1687,0,0,0
67,C_7_M_1,org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest::testInterpolateLinearDegenerateTwoSegment,0,Modified,15,19,0.105263158,0.001257862,1854,0,0,0.105263158
67,C_7_M_2,org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest::testInterpolateLinearDegenerateThreeSegment,0,Modified,16,18,0.111111111,0.001301236,1833,0,0,0.111111111
67,C_7_M_3,org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest::testInterpolateLinear,0,Modified,12,19,0.105263158,0.001257862,1854,0,0,0.105263158
67,C_7_M_4,org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest::testInterpolateSin,0,Modified,26,22,0.090909091,0.001143511,1926,0,0,0.090909091
67,C_7_M_5,org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest::testIllegalArguments,0,Modified,23,9,0,0,1687,0,0,0
67,C_10_M_1,org.apache.commons.math.exception.NotStrictlyPositiveExceptionTest::testAccessors,0,New,5,6,0,0,1669,0.5,0,0
67,C_11_M_1,org.apache.commons.math.exception.NumberIsTooSmallExceptionTest::testAccessors,0,New,5,6,0,0,1669,0.5,0,0
67,C_12_M_1,org.apache.commons.math.exception.NumberIsTooLargeExceptionTest::testAccessors,0,New,5,6,0,0,1669,0.5,0,0
67,C_13_M_1,org.apache.commons.math.exception.NotPositiveExceptionTest::testAccessors,0,New,5,6,0,0,1669,0.5,0,0
67,C_14_M_1,org.apache.commons.math.exception.NonMonotonousSequenceExceptionTest::testAccessors,0,New,13,9,0,0,1687,0.555555556,0,0
67,C_15_M_1,org.apache.commons.math.exception.OutOfRangeExceptionTest::testAccessors,0,New,5,6,0,0,1669,0.5,0,0
67,C_16_M_1,org.apache.commons.math.exception.DimensionMismatchExceptionTest::testAccessors,0,New,4,5,0,0,1667,0.4,0,0
67,C_17_M_1,org.apache.commons.math.ode.jacobians.FirstOrderIntegratorWithJacobiansTest::testLowAccuracyExternalDifferentiation,0,Modified,19,94,0.680851064,0.031967525,5071,0.074468085,0,0.680851064
67,C_17_M_2,org.apache.commons.math.ode.jacobians.FirstOrderIntegratorWithJacobiansTest::testHighAccuracyExternalDifferentiation,0,Modified,23,94,0.680851064,0.031967525,5071,0.074468085,0,0.680851064
67,C_17_M_3,org.apache.commons.math.ode.jacobians.FirstOrderIntegratorWithJacobiansTest::testInternalDifferentiation,0,Modified,26,112,0.580357143,0.027652686,6007,0.071428571,0,0.580357143
67,C_17_M_4,org.apache.commons.math.ode.jacobians.FirstOrderIntegratorWithJacobiansTest::testAnalyticalDifferentiation,0,Modified,24,108,0.601851852,0.028521903,5799,0.074074074,0,0.601851852
